2,1
2,1
2,1
3,1
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,1
3,2
3,1
3,2
3,2
3,2
3,1
3,2
3,2
3,2
3,2
3,2
3,1
3,2
3,1
3,1
4,2
4,2
4,3
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,3
4,1
4,2
4,1
4,3
4,3
4,3
4,3
4,3
4,2
4,3
4,3
4,3
4,2
4,2
4,2
4,3
4,3
4,1
4,3
4,3
4,2
4,3
4,3
4,2
4,2
4,2
4,2
5,2
5,4
5,2
5,1
5,3
5,3
5,2
5,2
5,1
5,2
5,4
5,2
5,2
5,4
5,3
5,3
5,4
5,4
5,2
5,3
5,3
5,2
5,4
5,4
5,2
5,2
5,4
5,2
5,3
5,2
5,4
5,2
5,1
5,3
5,2
5,3
5,2
5,3
5,4
5,2
5,4
5,4
5,3
6,3
6,2
6,3
6,4
6,1
6,3
6,3
6,2
6,2
6,3
6,2
6,2
6,3
6,4
6,5
6,4
6,2
6,3
6,3
6,3
6,4
6,1
6,1
6,2
6,2
6,2
6,4
6,2
6,4
6,1
6,4
6,1
6,2
6,3
6,3
6,3
6,2
6,2
6,3
6,4
6,3
6,3
6,2
6,1
6,4
6,3
6,4
6,4
6,3
6,3
7,1
7,2
7,3
7,3
7,2
7,2
7,1
7,4
7,3
7,3
7,2
7,3
7,2
7,2
7,3
7,3
7,3
7,2
7,3
7,4
7,4
7,4
7,2
7,3
7,4
7,3
7,3
7,1
7,2
7,3
7,5
7,4
7,3
7,1
7,3
7,2
7,4
7,2
7,2
7,3
7,2
7,3
8,4
8,3
8,6
8,3
8,2
8,2
8,4
8,5
8,3
8,3
8,3
8,4
8,2
8,3
8,2
8,3
8,2
8,3
8,1
8,5
8,3
8,2
8,2
8,3
8,5
8,4
8,4
8,3
8,4
8,5
8,2
8,2
8,4
8,4
8,3
8,2
8,3
8,3
8,1
8,5
8,2
8,4
8,4
8,2
8,4
8,4
8,2
8,3
8,3
8,4
8,3
9,1
9,3
9,3
9,3
9,3
9,3
9,2
9,1
9,1
9,4
9,2
9,3
9,2
9,3
9,2
9,3
9,2
9,1
9,3
9,4
9,3
9,3
9,5
9,1
9,5
9,4
9,4
9,4
9,2
9,3
9,3
9,1
9,2
9,3
9,4
9,4
9,4
9,3
9,3
9,2
9,4
9,4
9,3
9,2
9,3
9,3
9,4
9,4
9,2
9,1
9,3
10,1
10,2
10,3
10,3
10,3
10,2
10,2
10,4
10,3
10,2
10,3
10,5
10,3
10,2
10,5
10,4
10,4
10,3
10,4
10,4
10,1
10,4
10,2
10,3
10,3
10,1
10,1
10,2
10,2
10,2
10,1
10,3
10,3
10,4
10,3
10,3
10,4
10,3
10,3
10,1
10,3
10,3
10,3
10,4
10,4
10,3
10,6
11,2
11,3
11,2
11,3
11,3
11,3
11,1
11,2
11,4
11,3
11,4
11,4
11,3
11,4
11,3
11,4
11,4
11,2
11,2
11,2
11,3
11,3
11,4
11,4
11,4
11,2
11,1
11,2
11,3
11,5
11,4
11,3
11,3
11,2
11,4
11,4
11,3
11,3
11,2
11,4
11,2
11,2
11,4
11,3
11,5
11,4
11,2
12,3
12,4
12,3
12,4
12,5
12,1
12,3
12,2
12,3
12,3
12,2
12,2
12,3
12,3
12,4
12,3
12,3
12,3
12,4
12,4
12,3
12,4
12,1
12,2
12,3
12,5
12,6
12,5
12,1
12,2
12,2
12,4
12,4
12,2
12,2
12,3
12,1
12,2
12,2
12,4
12,3
12,2
12,2
12,3
12,4
12,4
12,4
12,3
12,4
12,4
12,5
13,2
13,1
13,2
13,3
13,4
13,2
13,2
13,3
13,3
13,2
13,2
13,3
13,4
13,5
13,3
13,2
13,3
13,4
13,2
13,4
13,3
13,4
13,3
13,3
13,2
13,4
13,5
13,3
13,4
13,2
13,1
13,3
13,3
13,2
13,3
13,4
13,4
13,4
13,2
13,4
13,3
13,5
13,2
13,3
13,2
13,5
13,4
13,2
14,3
14,4
14,4
14,4
14,3
14,3
14,3
14,2
14,4
14,2
14,3
14,4
14,4
14,6
14,2
14,2
14,4
14,2
14,1
14,2
14,4
14,3
14,1
14,2
14,4
14,2
14,3
14,4
14,3
14,3
14,1
14,2
14,2
14,5
14,4
14,3
14,2
14,2
14,3
14,4
14,4
14,2
14,3
14,3
14,2
14,5
14,3
15,2
15,1
15,2
15,4
15,5
15,4
15,3
15,3
15,3
15,3
15,2
15,4
15,3
15,4
15,3
15,2
15,4
15,2
15,4
15,3
15,2
15,2
15,2
15,1
15,4
15,3
15,2
15,3
15,2
15,4
15,5
15,6
15,4
15,5
15,3
15,3
15,3
15,1
15,5
15,3
15,4
15,3
15,3
15,5
15,2
16,2
16,3
16,2
16,2
16,2
16,6
16,6
16,5
16,3
16,4
16,3
16,2
16,4
16,3
16,2
16,2
16,1
16,5
16,3
16,3
16,4
16,2
16,3
16,3
16,3
16,2
16,2
16,3
16,4
16,5
16,4
16,2
16,3
16,2
16,3
16,3
16,3
16,5
16,3
16,1
16,3
16,3
16,6
16,3
16,4
16,3
16,4
16,4
16,4
16,2
16,4
16,4
16,4
